3  Stimmabgabe nach Geschlecht und Altersgruppen in den Ländern 2013;;;;;;;;;;;;;;
3.2  Gültige Zweitstimmen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Partei;Insgesamt;;Davon Wähler im Alter von ... bis unter ... Jahren;;;;;;;;;;;
;;;18 - 25;;25 - 35;;35 - 45;;45 - 60;;60 - 70;;70 und mehr;
;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%
;;;;;;;;;;;;;;
;Schleswig-Holstein;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
DIE LINKE;90,88124582;21,75975891;2,622639279;12,50183704;7,052976331;13,52282689;8,371504062;15,35733218;30,13369789;21,72948563;19,53598798;27,58397399;23,16444028;28,77154604
GRÜNE;15,95693681;3,820580308;1,148340994;5,474016992;2,931185724;5,620026961;3,027583832;5,554033096;5,466977457;3,942251247;1,718209265;2,426037512;1,664639542;2,067576537
Sonstige;61,57740665;14,74352064;5,434123206;25,90387604;12,93818785;24,80667258;10,81880086;19,84684202;20,44583815;14,74354551;7,941372601;11,21287623;3,999083991;4,967088682
dar. PIRATEN;10,11640586;2,422177983;2,370219485;11,29857926;3,201703728;6,138697088;2,023462735;3,711995974;1,798626461;1,296994082;0,458596006;0,647517818;0,26379745;0,327651365
dar. NPD;16,50221044;3,951135545;1,337056595;6,373603799;3,687912235;7,070915371;3,174954388;5,824381001;5,524373596;3,983639748;2,015350693;2,845588416;0,762562932;0,947146326
dar. AfD;29,15954296;6,981689337;1,410616617;6,724256445;5,079312226;9,738677225;4,615728521;8,467448101;10,89149192;7,853882322;4,688102902;6,619399471;2,474290775;3,073209198
Zusammen;417,6574114;100;20,97803123;100;52,1560794;100;54,51144745;100;138,6765357;100;70,8236891;100;80,51162858;100
;Frauen;;;;;;;;;;;;;
CDU;210,0316992;46,66483544;7,142532748;37,49288192;22,89298804;44,73143182;25,05261349;47,7385186;66,26497257;45,41421842;34,59980211;46,20783081;54,07879028;50,7369523
SPD;74,6227398;16,57967767;3,262101628;17,12356043;7,379964919;14,4199786;6,761363757;12,88398472;22,14802736;15,17898994;13,69365008;18,28778858;21,37763206;20,05658581
