1.7  Wahlbeteiligung in den Ländern nach Geschlecht und Altersgruppen 2013 in Prozent;;;;;;;;;;;
;;;;;;;;;;;
Land;Wahlbeteiligung1;;;;;;;;;;
;insgesamt;im Alter von ... bis unter ... Jahren;;;;;;;;;
;;18 - 21;21 - 25;25 - 30;30 - 35;35 - 40;40 - 45;45 - 50;50 - 60;60 - 70;70 und mehr
;Insgesamt;;;;;;;;;;
Rheinland-Pfalz;73,38373962;67,20656873;60,30161697;63,18406216;65,03113638;69,3331464;73,45244425;76,14723394;77,20333134;81,00494948;74,23141727
Bayern;70,61884842;63,08232064;59,62915622;62,60810944;64,84833711;67,95012653;71,44363696;73,93145523;74,87572539;78,56359108;69,42760696
Baden-Württemberg;74,33682346;68,30708435;64,48409013;66,84128182;70,34107016;71,53324319;75,34069008;77,50047383;78,47717137;81,73812103;72,62646798
Saarland;72,56704455;65,98541783;60,85485837;64,8260746;67,91891282;69,53049769;70,68473198;75,4527954;77,68214625;79,45451931;71,34364999
Deutschland;72,09765766;64,07130646;60,73817416;63,32964727;66,55670788;69,59958228;73,66168533;75,40464457;75,81348735;79,66186882;71,25515718
davon: früheres Bundesgebiet und Berlin-West;72,96017108;64,8343526;61,57242911;64,20267487;67,10460891;70,05133804;74,0110153;76,14530028;76,67974971;80,67310321;72,75536362
davon: Neue Länder und Berlin-Ost;68,34012733;57,91586991;55,96479238;59,52615521;64,20256128;67,51630609;71,94870548;71,81075147;72,25568501;75,69101192;65,33356091
;;;;;;;;;;;
;;;;;;;;;;;
1 Anteil der Wähler mit Stimm- und Wahlscheinvermerk im Wählerverzeichnis an den Wahlberechtigten.;;;;;;;;;;;
